Competition Title,Competition Date,Category,Rank,FIRST,LAST,Country,Qualification,Semi-final,Final,Semi-Final
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,85,LIAM,HEALY,AUS,0T2Z 0 15,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,85,DIEGO,LEQUERICA BUSCAGLIA,PER,0T2Z 0 7,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,88,MARK,SCANLON,IRL,0T1Z 0 3,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,89,IMAN,MORA,PHI,0T1Z 0 8,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,89,YING-CHIEH,WEN,TPE,0T0Z 0 0,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,91,JOHN JOSEPH,VELORIA,PHI,0T0Z 0 0,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,1,BROOKE,RABOUTOU,USA,5T5Z 12 12,2T4Z 5 6,3T4Z 6 6,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,2,HANNAH,MEUL,GER,4T5Z 6 5,2T4Z 4 5,1T3Z 1 8,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,3,ANON,MATSUFUJI,JPN,5T5Z 5 5,2T3Z 5 6,0T3Z 0 7,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,4,AYALA,KEREM,ISR,5T5Z 9 7,2T3Z 6 7,0T3Z 0 9,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,5,ZHILU,LUO,CHN,4T4Z 7 7,2T4Z 4 7,0T3Z 0 11,
